"   ","SEG_NO","PROVIDER_ID","BILL_NUM","FACTORY_PRODUCT_ID","PACK_ID","DOWNLOAD_TIME","PRODUCT_TYPE_NAME","NET_WEIGHT","GROSS_WEIGHT","LENGTH","LENGTH_MAX","WIDTH","THICK","UNIT_COUNT","HEAT_NUM","BILL_WEIGHT","BILL_COUNT","BILL_CREATE_TIME","BILL_RELEASE_TIME","BILL_EXECUTE_TIME","TRANS_UNIT_ID","TRANS_UNIT_NAME","TRANS_UNIT_SIM_NAME","DELIVERY_SPOT_ID","PRIVATE_LINE_ID","TRANS_TYPE_ID","WAREHOUSE_ID","READY_NUM","READY_TIME","ALLOCATE_FLAG","ALLOCATE_TIME","ALLOCATE_OPERATOR","WPROVIDER_ID","TPROVIDER_ID","INSERT_TIME","INSERT_DESC","DELIVERY_PLAN_ID","TRANS_COMMISSION_ID","TRANS_COMMISSION_SUBID","TRANS_TYPE","DELIVERY_TYPE","CUSTOMER_ID","S_CONTRACT_ID","S_CONTRACT_SUBID","SETTLE_TYPE","INVOICE_TITLE","TEMP1","DOCUMENT_FLAG","DOCUMENT_REMARK","ALLOCATE_NUM","AUDIT_FLAG","Z_PLAN_APPLY_DATE","TRANS_PRICE","OTHER_PRICE","IF_SETPRICE","PROC_MARK","OPTFLAG","RECEIVE_TIME","DEPTID","OWNER_NUM","SHOPSIGN","PRODAREA","PRODUCT_ID","PRODUCT_DSCR","IN_WEIGHT","GRADE_NUM"
"447","00101","P00628","1W514260200","D0H0002122","570437036","","钢帘线盘条","2.037000","2.037000","0","0","550.000","5500.000","1","343085","122.973000","60","201004260924","201004260954","201004261500","009542","上海阔道物流有限公司","阔道","","","11","W51","W510004787","201004260038","20","2010-04-26 103808","782362_GF","P01087","P00826","2010-4-26 11:15:55","","DP1004000198001","TC100401399","TC10040139900003","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:11","0101","SM","B72LX","宝钢","TD17100306810","钢帘线盘条","",""
"448","00101","P00628","1W514260200","D0H0002122","570437019","","钢帘线盘条","2.010000","2.010000","0","0","550.000","5500.000","1","343085","122.973000","60","201004260924","201004260954","201004261500","009542","上海阔道物流有限公司","阔道","","","11","W51","W510004787","201004260038","20","2010-04-26 103808","782362_GF","P01087","P00826","2010-4-26 11:15:55","","DP1004000198001","TC100401399","TC10040139900003","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:11","0101","SM","B72LX","宝钢","TD17100306810","钢帘线盘条","",""
"449","00101","P00628","1W514260200","D0H0002122","570437027","","钢帘线盘条","2.077000","2.077000","0","0","550.000","5500.000","1","343085","122.973000","60","201004260924","201004260954","201004261500","009542","上海阔道物流有限公司","阔道","","","11","W51","W510004787","201004260038","20","2010-04-26 103808","782362_GF","P01087","P00826","2010-4-26 11:15:55","","DP1004000198001","TC100401399","TC10040139900003","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:11","0101","SM","B72LX","宝钢","TD17100306810","钢帘线盘条","",""
"450","00101","P00628","1W514260200","D0H0002122","570437006","","钢帘线盘条","2.046000","2.046000","0","0","550.000","5500.000","1","343085","122.973000","60","201004260924","201004260954","201004261500","009542","上海阔道物流有限公司","阔道","","","11","W51","W510004787","201004260038","20","2010-04-26 103808","782362_GF","P01087","P00826","2010-4-26 11:15:55","","DP1004000198001","TC100401399","TC10040139900003","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:11","0101","SM","B72LX","宝钢","TD17100306810","钢帘线盘条","",""
"451","00101","P00628","1W514260200","D0H0002122","570437002","","钢帘线盘条","2.059000","2.059000","0","0","550.000","5500.000","1","343085","122.973000","60","201004260924","201004260954","201004261500","009542","上海阔道物流有限公司","阔道","","","11","W51","W510004787","201004260038","20","2010-04-26 103808","782362_GF","P01087","P00826","2010-4-26 11:15:55","","DP1004000198001","TC100401399","TC10040139900003","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:11","0101","SM","B72LX","宝钢","TD17100306810","钢帘线盘条","",""
"452","00101","P00628","1W514230000","D0H0002117","570388015","","钢帘线盘条","2.027000","2.027000","0","0","550.000","5500.000","1","343089","156.608000","78","201004230902","201004230913","201004231500","004678","上海联达物流有限公司","联达","","","11","W51","W510004735","201004222138","20","2010-04-26 103808","782362_GF","P01087","P00970","2010-4-26 11:15:51","","DP1004000344001","TC100401407","TC10040140700009","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:07","0101","SM","B82LX","宝钢","TD17100306803","钢帘线盘条","",""
"453","00101","P00628","1W514230000","D0H0002117","570388002","","钢帘线盘条","1.839000","1.839000","0","0","550.000","5500.000","1","343089","156.608000","78","201004230902","201004230913","201004231500","004678","上海联达物流有限公司","联达","","","11","W51","W510004735","201004222138","20","2010-04-26 103808","782362_GF","P01087","P00970","2010-4-26 11:15:51","","DP1004000344001","TC100401407","TC10040140700009","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:07","0101","SM","B82LX","宝钢","TD17100306803","钢帘线盘条","",""
"454","00101","P00628","1W514230000","D0H0002117","570388048","","钢帘线盘条","2.048000","2.048000","0","0","550.000","5500.000","1","343089","156.608000","78","201004230902","201004230913","201004231500","004678","上海联达物流有限公司","联达","","","11","W51","W510004735","201004222138","20","2010-04-26 103808","782362_GF","P01087","P00970","2010-4-26 11:15:51","","DP1004000344001","TC100401407","TC10040140700009","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:07","0101","SM","B82LX","宝钢","TD17100306803","钢帘线盘条","",""
"455","00101","P00628","1W514230000","D0H0002117","570388004","","钢帘线盘条","1.905000","1.905000","0","0","550.000","5500.000","1","343089","156.608000","78","201004230902","201004230913","201004231500","004678","上海联达物流有限公司","联达","","","11","W51","W510004735","201004222138","20","2010-04-26 103808","782362_GF","P01087","P00970","2010-4-26 11:15:51","","DP1004000344001","TC100401407","TC10040140700009","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:07","0101","SM","B82LX","宝钢","TD17100306803","钢帘线盘条","",""
"456","00101","P00628","1W514230000","D0H0002117","570388013","","钢帘线盘条","2.033000","2.033000","0","0","550.000","5500.000","1","343089","156.608000","78","201004230902","201004230913","201004231500","004678","上海联达物流有限公司","联达","","","11","W51","W510004735","201004222138","20","2010-04-26 103808","782362_GF","P01087","P00970","2010-4-26 11:15:51","","DP1004000344001","TC100401407","TC10040140700009","10","10","","","","10","上海宝钢商贸有限公司","","0","","","","","9.000000","0.000000","1","1","","2010/4/26 10:50:07","0101","SM","B82LX","宝钢","TD17100306803","钢帘线盘条","",""
