"RK1501070126","0101","BGSA150106002079I5J0000058","","20","","2015/1/7 11:03:36","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 11:03:53","","PZ001001004","热卷","Q460C","宝钢","","I5J0000058","GZ003059","鑫益","061","","I5J0000058","1.0000","9.1600","9.1600","I5J0000058","2015/1/7 11:03:36","2.02*983*C","2015/1/7 11:03:54","100003","2015/1/7 11:11:33","100003","0","室内库","0","","","2015/1/7 11:03:36","2015/1/7 11:03:36","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501050049","0101","BGSA150104002936I5J0000003","","20","","2015/1/5 15:02:56","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/5 15:03:12","","PZ001001004","热卷","SPHC","宝钢","","I5J0000003","GZ000005","鑫益","061","","I5J0000003","1.0000","3.5500","3.5500","I5J0000003","2015/1/5 15:02:56","2.82*1222*C","2015/1/5 15:03:13","100003","2015/1/5 15:10:49","100003","0","室内库","0","","","2015/1/5 15:02:56","2015/1/5 15:02:56","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501050053","0101","BGSA150104002936I5J0000009","","20","","2015/1/5 15:04:49","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/5 15:05:04","","PZ001001004","热卷","SPHC","宝钢","","I5J0000009","GZ000005","鑫益","061","","I5J0000009","1.0000","20.0500","20.0500","I5J0000009","2015/1/5 15:04:49","1.81*950*C","2015/1/5 15:05:06","100003","2015/1/5 15:12:44","100003","0","室内库","0","","","2015/1/5 15:04:49","2015/1/5 15:04:49","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501050046","0101","BGSA150104002936I5J0000004","","20","","2015/1/5 15:01:31","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/5 15:01:48","","PZ001001004","热卷","SPHC","宝钢","","I5J0000004","GZ000005","鑫益","061","","I5J0000004","1.0000","21.8100","21.8100","I5J0000004","2015/1/5 15:01:31","4.22*1228*C","2015/1/5 15:01:49","100003","2015/1/5 15:09:25","100003","0","室内库","0","","","2015/1/5 15:01:31","2015/1/5 15:01:31","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501060010","0101","BGSA150105001241I5J0000022","","20","","2015/1/6 8:48:00","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/6 8:48:18","","PZ001001004","热卷","DP600","宝钢","","I5J0000022","GZ000915","鑫益","061","","I5J0000022","1.0000","11.5250","11.5250","I5J0000022","2015/1/6 8:48:00","4.60*1448*C","2015/1/6 8:48:19","100003","2015/1/6 8:57:23","100003","0","室内库","0","","","2015/1/6 8:48:00","2015/1/6 8:48:00","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501060013","0101","BGSA150105001240I5J0000014","","20","","2015/1/6 8:51:25","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/6 8:51:56","","PZ001001004","热卷","SS490-P","宝钢","","I5J0000014","","鑫益","061","","I5J0000014","1.0000","4.0900","4.0900","I5J0000014","2015/1/6 8:51:25","2.32*1372*C","2015/1/6 8:51:56","100003","2015/1/6 8:59:36","100003","0","室内库","0","","","2015/1/6 8:51:25","2015/1/6 8:51:25","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501050052","0101","BGSA150104002936I5J0000007","","20","","2015/1/5 15:04:23","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/5 15:04:41","","PZ001001004","热卷","SPHC","宝钢","","I5J0000007","GZ000005","鑫益","061","","I5J0000007","1.0000","20.1400","20.1400","I5J0000007","2015/1/5 15:04:23","1.81*950*C","2015/1/5 15:04:43","100003","2015/1/5 15:12:19","100003","0","室内库","0","","","2015/1/5 15:04:23","2015/1/5 15:04:23","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501070075","0101","BGSA150106002080I5J0000114","","20","","2015/1/7 10:08:51","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 10:10:20","","PZ001001004","热卷","SPHC","宝钢","","I5J0000114","GZ000005","鑫益","061","","I5J0000114","1.0000","10.9300","10.9300","I5J0000114","2015/1/7 10:08:51","3.02*1242*C","2015/1/7 10:10:21","100003","2015/1/7 10:18:41","100003","0","室内库","0","","","2015/1/7 10:08:51","2015/1/7 10:08:51","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501070087","0101","BGSA150106002080I5J0000126","","20","","2015/1/7 10:19:07","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/7 10:19:32","","PZ001001004","热卷","SS540","宝钢","","I5J0000126","GZ002782","鑫益","061","","I5J0000126","1.0000","8.1150","8.1150","I5J0000126","2015/1/7 10:19:07","4.02*1129*C","2015/1/7 10:19:33","100003","2015/1/7 10:27:14","100003","0","室内库","0","","","2015/1/7 10:19:07","2015/1/7 10:19:07","","","","","","","","","","1","","0","0.0000","0","","","","","0"
"RK1501080020","0101","BGSA150107002043I5J0000147","","20","","2015/1/8 8:52:12","宝山钢铁股份有限公司","KH06759","100003","钱晓平","2015/1/8 8:52:36","","PZ001001004","热卷","Q460C","宝钢","","I5J0000147","GZ003059","鑫益","061","","I5J0000147","1.0000","7.8700","7.8700","I5J0000147","2015/1/8 8:52:12","3.30*1250*C","2015/1/8 8:52:37","100003","2015/1/8 9:00:20","100003","0","室内库","0","","","2015/1/8 8:52:12","2015/1/8 8:52:12","","","","","","","","","","1","","0","0.0000","0","","","","","0"
