"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE"
"130","BGSY","H07110128","1H07112281101","I2E0000236","DS","","11","","","2","54740","直发卷","SPHC","","H07","","20191216","","宝钢运输公司一号库(富锦路1598号)56642373","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","钢联沪BL9549","1","20111229","0351","","","219840","","","","","0","0","","","","2011/12/29 4:24:45","2011/12/29 4:15:17","1","4*1450*C","C","","0","","00100","","TI15111200714","","2011/12/29 4:24:45","0","1","不锈钢分公司热轧厂","","GM0","0101","",""
"131","BGSA","H66926416","1H66C280400","I2E0001731","DS","H661010381","11","","","1","23058","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B51452","1","20111228","2043","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","2.32*1175*C","C","","0","","00100","","TI15111201920","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"132","BGSA","H66926417","1H66C280400","I2E0001739","DS","H661010388","11","","","1","29120","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B51452","1","20111228","2043","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","3.8*1670*C","C","","0","","00100","","TI15111201928","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"133","BGSA","H66926408","1H66C280400","I2E0001741","DS","H661010390","11","","","1","23500","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B37537","1","20111228","2029","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","4*1264*C","C","","0","","00100","","TI15111201930","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"134","BGSA","H66926409","1H66C280400","I2E0001747","DS","H661010394","11","","","1","25700","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B37537","1","20111228","2029","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","5.03*1222*C","C","","0","","00100","","TI15111201936","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"135","BGSA","H66926412","1H66C280400","I2E0001748","DS","H661010395","11","","","1","26440","直发卷","SS490","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B37591","1","20111228","2036","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","3.02*1168*C","C","","0","","00100","","TI15111201937","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"136","BGSA","H66926413","1H66C280400","I2E0001736","DS","H661010386","11","","","1","23600","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B37591","1","20111228","2036","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","3.22*1270*C","C","","0","","00100","","TI15111201925","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"137","BGSA","H66926414","1H66C280400","I2E0001742","DS","H661010391","11","","","1","24320","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B37476","1","20111228","2038","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","4*1302*C","C","","0","","00100","","TI15111201931","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"138","BGSA","H66926415","1H66C280400","I2E0001738","DS","H661010387","11","","","1","21280","直发卷","SS400","","H66","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B37476","1","20111228","2038","","","","","","","","0","0","CC","","","2011/12/28 21:24:45","2011/12/28 21:15:08","1","3.8*1192*C","C","","0","","00100","","TI15111201927","","2011/12/28 21:24:45","0","1","宝钢分公司2050热轧","","GM0","0101","",""
"139","BGSA","H61927251","1H61C310400","I2E0000081","DS","H611016152","11","","","1","20820","直发卷","40MnB","","H61","","","","","000425","上海宝钢钢材贸易有限公司","000425","上海宝钢钢材贸易有限公司","","沪  B-65787","1","20111231","2033","","","","","","","","0","0","CC","","","2011/12/31 21:24:34","2011/12/31 21:15:20","1","3*1200*C","C","","0","","00100","","TI15111200805","","2011/12/31 21:24:34","0","1","宝钢分公司热轧","","GM0","0101","",""
