"   ","OWNER_NUM","MANU_ID","CONTRACT_ITEM_NUM","RESOURCE_NUM","INPUT_STACKING_NUM","PICK_NUM","PACK_NUM","UNIT_WEIGHT","WEIGHT_THEO","N_PACK","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","WS_FLAG","WS_DATE","SEG_NO","DEPTID","EXTSYSID","EXTSYSSTACKID","GRADE_NUM","DOWNLOADFLAG","LENGTH_PRODUCT","LENGTH_PRODUCT_MAX","LENGTH_PRODUCT_MIN","HEAT_NUM","TEST_LOT_NUM","OPTFLAG","VEHICLE_CODE","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","STACKING_COUNT","DELIVERY_DATE_CHR","M_CONTRACT_ITEM_NUM","SPEC1","SPEC3","SPEC5","PPFLAG","SCAN_FLAG"
"18","GM0","BGNA","TI15130600723","I3E0012674","F093009912","3F09307080301","85016703300","23.67","23.67","1","2013/7/8 18:38:32","","","","","0","","00100","0101","GM0","","2.75*1330*C","0","809171","809171","0","280339","","0","30708003&@梅盛1969","直发卷","SA414M GR.G","65.61","3","20130708","TI15130600723","","","","0","0"
"19","GM0","BGNA","TI15130600746","I3E0012679","F093009914","3F09307080301","85016703900","17.24","17.24","1","2013/7/8 18:38:32","","","","","0","","00100","0101","GM0","","3.75*1250*C","0","468129","468129","0","129135","","0","30708003&@梅盛1969","直发卷","SA414M GR.G","38.53","2","20130708","TI15130600746","","","","0","0"
"20","GM0","BGNA","TI15130600746","I3E0012679","F093009914","3F09307080301","85016704000","21.29","21.29","1","2013/7/8 18:38:32","","","","","0","","00100","0101","GM0","","3.75*1250*C","0","564818","564818","0","218473","","0","30708003&@梅盛1969","直发卷","SA414M GR.G","38.53","2","20130708","TI15130600746","","","","0","0"
"21","GM0","BGNA","TI15130600743","I3E0012677","F013031396","3F01307081401","85016703000","20.33","20.33","1","2013/7/9 6:38:33","","","","","0","","00100","0101","GM0","","3.2*1300*C","0","601722","601722","0","218473","","0","30708008&@梅盛3769","直发卷","SA414M GR.G","20.33","1","20130709","TI15130600743","","","","0","0"
"22","GM0","BGNA","TI15130600723","I3E0012674","F013031399","3F01307081401","85016703400","20.42","20.42","1","2013/7/9 6:38:33","","","","","0","","00100","0101","GM0","","2.75*1330*C","0","696789","696789","0","218473","","0","30708008&@梅盛3769","直发卷","SA414M GR.G","20.42","1","20130709","TI15130600723","","","","0","0"
"23","GM0","BGNA","TI15130600746","I3E0012679","F013031400","3F01307081401","85016704100","20.77","20.77","1","2013/7/9 6:38:33","","","","","0","","00100","0101","GM0","","3.75*1250*C","0","552651","552651","0","218473","","0","30708008&@梅盛3769","直发卷","SA414M GR.G","20.77","1","20130709","TI15130600746","","","","0","0"
"24","GM0","BGNA","TI15130600722","I3E0012673","F013031232","3F01307070101","84931701900","24.57","24.57","1","2013/7/7 14:38:31","","","","","0","","00100","0101","GM0","","2.85*1360*C","0","790491","790491","0","280339","","0","30706009&@梅盛2266","直发卷","SA414M GR.G","47.81","2","20130707","TI15130600722","","","","0","0"
"25","GM0","BGNA","TI15130600722","I3E0012673","F013031232","3F01307070101","84931702000","23.24","23.24","1","2013/7/7 14:38:31","","","","","0","","00100","0101","GM0","","2.85*1360*C","0","748695","748695","0","280339","","0","30706009&@梅盛2266","直发卷","SA414M GR.G","47.81","2","20130707","TI15130600722","","","","0","0"
"26","GM0","BGNA","TI15130600745","I3E0012678","F093009835","3F09307070101","84988701000","29.13","29.13","1","2013/7/7 14:38:31","","","","","0","","00100","0101","GM0","","3.8*1620*C","0","590497","590497","0","218471","","0","30706009&@梅盛2266","直发卷","SA414M GR.G","58.25","2","20130707","TI15130600745","","","","0","0"
"27","GM0","BGNA","TI15130600745","I3E0012678","F093009835","3F09307070101","84988700800","29.12","29.12","1","2013/7/7 14:38:30","","","","","0","","00100","0101","GM0","","3.8*1620*C","0","590884","590884","0","218471","","0","30706009&@梅盛2266","直发卷","SA414M GR.G","58.25","2","20130707","TI15130600745","","","","0","0"
"28","GM0","BGNA","TI15130700352","I3E0014286","F013032301","3F01307151101","85237704600","20.36","20.36","1","2013/7/16 0:38:42","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","791598","791598","0","219490","","0","30715009&@梅盛1918","直发卷","HP295","20.36","1","20130715","TI15130700352","","","","0","0"
"29","GM0","BGNA","TI15130700352","I3E0014286","F013032302","3F01307151101","85237705600","20.26","20.26","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","791435","791435","0","219486","","0","30715009&@梅盛1918","直发卷","HP295","81.03","4","20130715","TI15130700352","","","","0","0"
"30","GM0","BGNA","TI15130700352","I3E0014286","F013032302","3F01307151101","85237705000","20.26","20.26","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","789383","789383","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","81.03","4","20130715","TI15130700352","","","","0","0"
"31","GM0","BGNA","TI15130700352","I3E0014286","F013032302","3F01307151101","85237705200","20.25","20.25","1","2013/7/16 0:38:41","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","787008","787008","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","81.03","4","20130715","TI15130700352","","","","0","0"
"32","GM0","BGNA","TI15130700352","I3E0014286","F013032302","3F01307151101","85237704800","20.26","20.26","1","2013/7/16 0:38:42","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","790372","790372","0","219489","","0","30715009&@梅盛1918","直发卷","HP295","81.03","4","20130715","TI15130700352","","","","0","0"
