"   ","SEG_NO","OWNER_NUM","BILL_NUM","BILL_DATE","CUSTOM_NUM","CUSTOMER_ID","STOCK","ITEM_NUM","BILLSTATE","FETCH_PERSON","FETCH_PERSON_ID_CARD","DEPT_ID","DOWNLOADFLAG","DEPTID","RESOURCE_NUM","CONTRACT_ITEM_NUM","FILIALE_CODE","EXTSYSID","EXTSYSSTACKID","PLAN_COUNT","ACT_COUNT","VALID_START_DATE","VALID_END_DATE","SPECIAL_REQUEST","CONSIGNEE_NAME","CONSIGNEE_ADDR","CONSIGNEE_RESPNDER","CONSIGNEE_TELE","INSERT_TIME","OPTFLAG","EBS_BILL_BATCH_ID","OUT_SETTLE_TYPE","HOSING_PRICE"
"64","00001","BX","DC111101155","2011/11/9","C04965||","C04965","P00086","X111100108","40","","","01","0","0101","","TI15111100522","BX","BX","P00086","0.000000","0.000000","2011/11/9 17:30:27","2011/11/9 17:30:27","","","","","","2011/11/9 17:40:48","0","","客户承担",""
"65","00001","BX","DC111101156","2011/11/9","C04965||","C04965","P00086","X111100106","40","","","01","0","0101","","TI15111100525","BX","BX","P00086","0.000000","0.000000","2011/11/9 17:30:28","2011/11/9 17:30:28","","","","","","2011/11/9 17:40:48","0","","客户承担",""
"66","00001","BX","DC111101157","2011/11/9","C04965||","C04965","P00086","X111100108","40","","","01","0","0101","","TI15111100522","BX","BX","P00086","0.000000","0.000000","2011/11/9 17:30:29","2011/11/9 17:30:29","","","","","","2011/11/9 17:40:48","0","","客户承担",""
"67","00001","BX","DC111102654","2011/11/17","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100519","BX","BX","P00086","0.000000","0.000000","2011/11/17 12:32:05","2011/11/17 12:32:05","","","","","","2011/11/17 12:41:09","0","","客户承担",""
"68","00001","BX","DC111102655","2011/11/17","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100519","BX","BX","P00086","0.000000","0.000000","2011/11/17 12:32:06","2011/11/17 12:32:06","","","","","","2011/11/17 12:41:09","0","","客户承担",""
"69","00001","BX","DC111100258","2011/11/3 16:06:38","C04965||","C04965","P00086","X111100107","40","","","01","0","0101","","TI15111100504","BX","BX","P00086","0.000000","0.000000","2011/11/3 16:06:38","2011/11/3 16:06:38","","","","","","2011/11/3 16:40:40","0","","客户承担",""
"70","00001","BX","DC111100260","2011/11/3","C04965||","C04965","P00086","X111100107","40","","","01","0","0101","","TI15111100514","BX","BX","P00086","0.000000","0.000000","2011/11/3 16:16:38","2011/11/3 16:16:38","","","","","","2011/11/3 16:40:40","0","","客户承担",""
"71","00001","BX","DC111100261","2011/11/3","C04965||","C04965","P00086","X111100107","40","","","01","0","0101","","TI15111100514","BX","BX","P00086","0.000000","0.000000","2011/11/3 16:16:39","2011/11/3 16:16:39","","","","","","2011/11/3 16:40:40","0","","客户承担",""
"72","00001","BX","DC111100262","2011/11/3","C04965||","C04965","P00086","X111100107","40","","","01","0","0101","","TI15111100514","BX","BX","P00086","0.000000","0.000000","2011/11/3 16:16:40","2011/11/3 16:16:40","","","","","","2011/11/3 16:40:40","0","","客户承担",""
"73","00001","BX","DC111100263","2011/11/3","C04965||","C04965","P00086","X111100107","40","","","01","0","0101","","TI15111100514","BX","BX","P00086","0.000000","0.000000","2011/11/3 16:16:41","2011/11/3 16:16:41","","","","","","2011/11/3 16:40:40","0","","客户承担",""
"74","00001","BX","DC111102401","2011/11/15","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100523","BX","BX","P00086","0.000000","0.000000","2011/11/15 16:11:43","2011/11/15 16:11:43","","","","","","2011/11/15 16:41:05","0","","客户承担",""
"75","00001","BX","DC111101937","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 17:50:47","2011/11/11 17:50:47","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"76","00001","BX","DC111101938","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 17:50:48","2011/11/11 17:50:48","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"77","00001","BX","DC111101939","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 17:50:49","2011/11/11 17:50:49","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"78","00001","BX","DC111101940","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 17:50:50","2011/11/11 17:50:50","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"79","00001","BX","DC111101941","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:00:47","2011/11/11 18:00:47","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"80","00001","BX","DC111101942","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:00:48","2011/11/11 18:00:48","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"81","00001","BX","DC111101943","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:00:49","2011/11/11 18:00:49","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"82","00001","BX","DC111101946","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100523","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:20:47","2011/11/11 18:20:47","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"83","00001","BX","DC111101947","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100523","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:20:48","2011/11/11 18:20:48","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"84","00001","BX","DC111101948","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:20:49","2011/11/11 18:20:49","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"85","00001","BX","DC111101949","2011/11/11","C04965||","C04965","P00086","X111100105","40","","","01","0","0101","WGBZ111102A005","TI15111100510","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:20:50","2011/11/11 18:20:50","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"86","00001","BX","DC111101950","2011/11/11","C04965||","C04965","P00086","X111100107","40","","","01","0","0101","","TI15111100509","BX","BX","P00086","0.000000","0.000000","2011/11/11 18:20:51","2011/11/11 18:20:51","","","","","","2011/11/11 18:40:57","0","","客户承担",""
"87","00001","BX","DC111102559","2011/11/16","C04965||","C04965","P00086","X111100106","40","","","01","0","0101","","TI15111100525","BX","BX","P00086","0.000000","0.000000","2011/11/16 16:31:56","2011/11/16 16:31:56","","","","","","2011/11/16 16:41:02","0","","客户承担",""
"88","00001","BX","DC120201852","2012/2/13","C02342||","C02342","P00086","X120200441","40","","","01","0","0101","","TI13120100024","BX","BX","P00086","0.000000","0.000000","2012/2/13","2012/2/13","","","宝铁库","","","2012/2/13 12:47:20","0","","客户承担",""
"89","00001","BX","DC120102776","2012/1/31","C03745||","C03745","P00086","X120100607","40","","","01","0","0101","","TI15120101621","BX","BX","P00086","0.000000","0.000000","2012/1/31 11:26:38","2012/1/31 11:26:38","","","","","","2012/1/31 11:45:41","0","","客户承担",""
