"   ","GUBILLID","DEPTID","GOODSID","GUSTATE","RELEASEDATE","R_RECORD_IS_DELETED","R_RECORD_CREATE_USER","R_RECORD_CREATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_CHANGE_FLAG","PACKNUM","GOODSLOCID","OWNERID","OWNERNAME","MANAGENO","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","GRADENUM","GROSSWEIGHT","NETWEIGHT","SHEETNUM","MEMO","INTERNALCODE"
"21","CWGS","0101","50a9412c966f4ea0a01ea51cea254722","10","","0","admin","2015/7/30 15:02:41","","","","1115016385","FB2212","KH06759","宝山钢铁股份有限公司","I5J0010006","PZ001001010","热轧卷","GZ001236","BR1500HS","2.02*1200*C","5.400000","5.400000","1.000000","","60905adb-b5b4-4148-a05f-4a3343d2e3c0"
"22","CWGS","0101","618550970e2d4b9c9cd8bb929a592900","10","","0","admin","2015/7/30 15:02:41","","","","1115016383","FA1D32","KH06759","宝山钢铁股份有限公司","I5J0010005","PZ001001010","热轧卷","GZ001236","BR1500HS","2.02*1200*C","4.950000","4.950000","1.000000","","60905adb-b5b4-4148-a05f-4a3343d2e3c0"
"23","CWGS","0101","750a23323ad6401fbf0790eeaedc19be","10","","0","admin","2015/7/30 15:02:41","","","","1115016381","FC1162","KH06759","宝山钢铁股份有限公司","I5J0010004","PZ001001010","热轧卷","GZ001236","BR1500HS","2.02*1212*C","4.280000","4.280000","1.000000","","60905adb-b5b4-4148-a05f-4a3343d2e3c0"
"24","CWGS","0101","0dfbfe7dc36444ad90ebf91612964823","10","","0","admin","2015/7/30 15:02:41","","","","1115016376","FC1152","KH06759","宝山钢铁股份有限公司","I5J0010003","PZ001001010","热轧卷","GZ001236","BR1500HS","2.02*1212*C","3.030000","3.030000","1.000000","","60905adb-b5b4-4148-a05f-4a3343d2e3c0"
"25","CWGS","0101","8219fb33a82a491fb481c0cf93872d7e","10","","0","admin","2015/8/13 14:53:55","","","","1155009277","FA1B22","KH06759","宝山钢铁股份有限公司","I5J0010660","PZ001001010","热轧卷","GZ002220","BS700MC","5.00*1500*C","8.805000","8.805000","1.000000","","a3445ab7-1e7e-4f83-a119-0babd8726f48"
"26","CWGS","0101","c9b45eea37ca4dedbed02441a753adc9","10","","0","admin","2015/6/23 15:08:35","","","","1155007109","ED1411","KH06759","宝山钢铁股份有限公司","I5J0007981","PZ001001010","热轧卷","GZ002316","Q500D","3.00*1199*C","12.005000","12.005000","1.000000","","0a435d77-6e16-4ffa-879a-775b5a39e1b1"
"27","CWGS","0101","e9f9ffa4671d46558d90b973daa32c27","10","","0","admin","2015/6/23 15:09:21","","","","1155007110","FB2812","KH06759","宝山钢铁股份有限公司","I5J0007982","PZ001001010","热轧卷","GZ002316","Q500D","3.00*1199*C","9.445000","9.445000","1.000000","","92353866-baf4-4f81-b12c-066174966fd2"
"28","CWGS","0101","c7977970ad2140fba284c04afba98673","10","","0","admin","2015/7/2 15:11:04","","","","135042776501","EE1322","KH06759","宝山钢铁股份有限公司","I5J0007070","PZ001001010","热轧卷","GZ003059","Q460C","2.51*843*C","16.160000","16.160000","1.000000","","3c724546-3633-42fd-b067-fd1106b1106d"
"29","CWGS","0101","52a8ec51a6274628a8a9861adf0a9b53","10","","0","admin","2015/6/26 15:10:51","","","","115540407500","HD1232","KH06759","宝山钢铁股份有限公司","I5J0008279","PZ001001010","热轧卷","GZ002316","Q500D","2.52*1197*C","20.980000","20.980000","1.000000","","e0f676f1-53a3-4fb8-acb9-0a9030e26805"
"30","CWGS","0101","b95806c731ae4c16943076179d3470e1","10","","0","admin","2015/8/17 14:17:49","","","","1115016797","ED1422","KH06759","宝山钢铁股份有限公司","I5J0010835","PZ001001010","热轧卷","GZ002407","QStE700TM","3.00*1100*C","12.060000","12.060000","1.000000","","9c6683e5-2349-4e7a-a848-432537a15856"
"31","CWGS","0101","f427573ba5a14ace890eb0ae18c94c7f","10","","0","admin","2015/7/10 14:56:02","","","","115583605800","JD1831","KH06759","宝山钢铁股份有限公司","I5J0009122","PZ001001010","热轧卷","GZ002220","BS700MC","5.02*1300*C","23.980000","23.980000","1.000000","","fb03973b-3a46-4eb8-9041-61d7029381c8"
"32","CWGS","0101","e81e593c4e5f48e98a155b0eda3006a5","10","","0","admin","2015/7/10 14:56:38","","","","115583603700","JC1622","KH06759","宝山钢铁股份有限公司","I5J0009114","PZ001001010","热轧卷","GZ004040","MHS-3","10.04*1700*C","31.240000","31.240000","1.000000","","1ebc6b38-7520-4505-9bee-c3220af1653c"
"33","CWGS","0101","90f32ee76d2d4090bda2f580029bf22d","10","","0","admin","2015/8/17 10:45:44","","","","1155009359","HA1482","KH06759","宝山钢铁股份有限公司","I5J0010821","PZ001001010","热轧卷","GZ000005","SPHC","5.02*1261*C","13.135000","13.135000","1.000000","","c7290185-3223-44f6-bc12-2fc3245cdcbc"
"34","CWGS","0101","2980bd9e8b5a4867b022cab91f4bf486","10","","0","admin","2015/8/17 10:47:50","","","","1155009356","FA2112","KH06759","宝山钢铁股份有限公司","I5J0010820","PZ001001010","热轧卷","GZ000005","SPHC","5.02*1261*C","9.950000","9.950000","1.000000","","ec302cf0-7f6e-46bf-95a9-d6ef37ecd7ce"
"35","CWGS","0101","393b35d1ed9d43c48a5101a03738c97a","10","","0","admin","2015/8/17 14:18:43","","","","1115016798","EE1112","KH06759","宝山钢铁股份有限公司","I5J0010836","PZ001001010","热轧卷","GZ002407","QStE700TM","3.00*1100*C","10.360000","10.360000","1.000000","","19d90a77-a02f-4019-ad05-0f1d66ce4295"
"36","CWGS","0101","caea09990f364531b9f4d07177669ba5","10","","0","admin","2015/8/3 14:04:46","","","","1115013927","HB1262","KH06759","宝山钢铁股份有限公司","I5J0010083","PZ001001010","热轧卷","GZ002220","BS700MC","6.00*1230*C","12.940000","12.940000","1.000000","","9da96de6-10ad-4f89-934c-bd415c7c5791"
"37","CWGS","0101","3c3466b53e934389b125eca11dfa5f50","10","","0","admin","2015/8/3 14:06:09","","","","1155008305","HA1451","KH06759","宝山钢铁股份有限公司","I5J0010098","PZ001001010","热轧卷","GZ002220","BS700MC","5.00*1150*C","18.035000","18.035000","1.000000","","c8c52900-8180-4bb4-9f3f-d90a8ded2451"
"38","CWGS","0101","25c3534726f6417891f776e397b221ad","10","","0","admin","2015/8/3 14:35:23","","","","1115016403","HC1332","KH06759","宝山钢铁股份有限公司","I5J0010047","PZ001001010","热轧卷","GZ004040","MHS-3","1.50*1100*C","11.040000","11.040000","1.000000","","b949826c-b12e-4ff1-82ae-ee70273507cf"
