"   ","GUID","DEPTID","DEPTNAME","BUSINESSNO","PRICE","PRE_PRICE","ACCOUNT_UNIT","FEE_TYPE_ID","FEE_TYPE_NAME","CONTRACT_DETAIL_ID","CONTRACT_DETAIL_DESCRIBE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","PRICE2","MEMO","FINPRODUCTNAME"
"25","d9eeda378f9749a8a72f522e5aa609c9","0101","通用货主","CK1404030020","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 14:57:06","1818","","","0","0","0.00","",""
"26","c4ee721e09c44c4da304f7428808bf4f","0101","运输公司","CK1404030020","25.00","0.00","元/吨","001004","加工费","843f5e6c1a3e4689b08c4df88f4460de","","2014/4/3 14:57:08","1818","","","0","0","0.00","",""
"27","071d247ea65741e486285a2891aa1e20","0101","沈阳宝钢东北","CK1404030024","23.50","23.50","元/吨","001002","出库吊装费","678F92565A634FAFA9EF79046C8BDE85","","2014/4/3 15:35:20","1818","","","0","0","16.00","","无取向电工钢卷"
"28","333edf385f5e4a49a95398f617b1bab3","0101","运输公司","CK1404030027","20.00","20.00","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/3 16:54:07","1818","","","0","0","20.00","","普通线材"
"29","4915158e39894d0aaf08b2d4ebc0d392","0101","通用货主","CK1404030029","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 17:20:18","1818","","","0","0","0.00","",""
"30","9671aea42d3349ae9fbc894465d7be94","0101","运输公司","CK1404030029","20.00","0.00","元/吨","001004","加工费","c1223dd69d2e454a8a873d2f7ff9c1c1","","2014/4/3 17:20:18","1818","","","0","0","0.00","",""
"31","faadc526f4c24ae3b12fd1ce7544a4b5","0101","运输公司","CK1404030030","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 17:24:34","1818","","","0","0","18.00","","螺纹钢"
"32","6b1a0c3a67684f9eae709e53be724bb1","0101","上海闽兴大国际贸易有限公司","CK1404030035","25.00","0.00","元/吨","001004","加工费","7cd091b5bee440789138aa609d0caf45","","2014/4/3 18:18:10","1919","","","0","0","0.00","",""
"33","b99e4f7164cf44789631577175ef5847","0101","武汉宝钢华中","CK1403310003","18.50","18.50","元/吨","001002","出库吊装费","8B8E4D30081C410FB730DECD83D8C5C5","","2014/3/31 12:36:23","100003","","","0","0","10.00","","热轧板"
"34","8135e70b54f04502a831681effed23cf","0101","通用货主","CK1403310006","18.00","18.00","元/吨","001002","出库吊装费","9FE4852AA8134225848265E2FA54F880","出库吊装费 ","2014/3/31 14:22:07","100003","","","0","0","0.00","",""
