"   ","MANAGENO","DEPTID","SETTLENO","SETTLECD","GOODSID","PACKNUM","NODE","NODENAME","BUSINESSTYPE","BUSINESSTYPENAME","BUSINESSNO","FEETYPE","FEETYPENAME","SETTLEFORMULA","COUNTUNIT","SETTLENUM","SETTLESUM","UNIT","WEIGHT","GROSSWEIGHT","GENERATEDATE","PRICENO","STATE","DEPTNO","DEPTNAME","OWNERNO","OWNERNAME","RESOURCENO","PREGOODSID","MEMO","SENDFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","INVOICEKINDID","INVOICEKINDNAME","R_RECORD_CHANGE_FLAG","SETTLE_CONTRACT_ID","SETTLE_CONTRACT_NO","SUB_BIZ_TYPE_ID","SUB_BIZ_TYPE_NAME","FIRST_IN_DATE","OUT_STORE_DATE","FREE_DAYS","RECEIVE_FEE","JGBUSINESSNO","PAYTYPE","BILLEMPNAME","FIRSTCOUNTUNIT","ADDFEELINK","SETTLELOCK","JYZXFLAG","FOREIGNLISTNO","YTS","MTS","DIRECTION","SETTLESUMUSED","SETTLEDEPTNAME","KPAMOUNT","USERNAME","SETTLESUMTAX","SETTLESUMNOTAX","CBCOUNTUNIT","CBSETTLESUM","DTLINVOICENO","INVOICENODATE","DTLINVOICETYPENAME"
"80","90c9d58cf9b34388b89f0691a621ba8f","0101","0f4f43437c844dc0aa5ae125266d0964","1403310011","85EDDEE5259144B2A07D1529CD50C5CD","D140129281P-16","2","出库","002","出库","CK1403310006","001004","加工费","0.90*27","27.0000","0.9000","24.3000","元/吨","0.9000","0.9000","2014/3/31 14:21:13","4289359deeb94810bda680b40b989181","1","KH04500","上海博益实业有限公司","KH04500","上海博益实业有限公司","SXJM金兆22140224G","85EDDEE5259144B2A07D1529CD50C5CD","","0","2014/3/31 14:22:08","100003","2014/3/31 14:22:35","100003","0","014002","现结","0","","","","","","","0","0.00","","","","27.0000","","","0","","0","0","","","","","","","","","","","",""
"81","541bed130cbf483a9595523aa240445c","0101","0f4f43437c844dc0aa5ae125266d0964","1403310011","45EEEFB85F1C4CB4B70381D0C48FBE4D","D140129281P-17","2","出库","002","出库","CK1403310006","001004","加工费","0.20*27","27.0000","0.2000","5.4000","元/吨","0.2000","0.2000","2014/3/31 14:21:13","4289359deeb94810bda680b40b989181","1","KH04500","上海博益实业有限公司","KH04500","上海博益实业有限公司","SXJM金兆22140224G","45EEEFB85F1C4CB4B70381D0C48FBE4D","","0","2014/3/31 14:22:08","100003","2014/3/31 14:22:35","100003","0","014002","现结","0","","","","","","","0","0.00","","","","27.0000","","","0","","0","0","","","","","","","","","","","",""
"82","86b0dcddfc3048aba46a0a1e8b1d5d92","0101","5978fc8251f84325bb9987989f259c79","1403310012","c243f969dd614e26bb6c374d6914ad21","20140107002-002301","2","出库","002","出库","CK1403310007","001002","出库吊装费","8.7330*28","28.0000","8.7330","244.5240","元/吨","8.7330","8.7330","2014/3/31 14:53:52","9FE4852AA8134225848265E2FA54F880","1","KH06161","上海添亮实业有限公司","KH06161","上海添亮实业有限公司","XMHY螺纹140106B","c243f969dd614e26bb6c374d6914ad21","","0","2014/3/31 14:54:00","100003","2014/3/31 14:54:10","100003","0","014002","现结","0","","","","","","","0","0.00","","","","28.0000","","","0","","0","0","","","","","","","","","","","",""
"83","7a5b265db311471c91ebafd9cbb47140","0101","fc6271a9c0e749c6a9c039a0f3548ec3","1403310013","1D1238B5548641B7B9A03B0A86917D28","R4042601301","2","出库","002","出库","CK1403310008","001002","出库吊装费","21.89*19.8","19.8000","21.8900","433.4220","元/吨","21.8900","21.8900","2014/3/31 14:58:14","7B5B9337B8054213AEA408CC568A0077","1","KH00004","成都宝钢西部贸易有限公司","KH00004","成都宝钢西部贸易有限公司","I4D0000138","1D1238B5548641B7B9A03B0A86917D28","","0","2014/3/31 14:58:22","100003","2014/3/31 14:58:37","100003","0","014002","现结","0","","","","","","","0","0.00","","","","19.8000","","","0","","0","0","","","","","","","","","","","",""
"84","89a6868a106743b993ea6cc36591974e","0101","fc6271a9c0e749c6a9c039a0f3548ec3","1403310013","06288516BB604D1ABD9845516FA5BFF0","R4042601400","2","出库","002","出库","CK1403310008","001002","出库吊装费","19.33*19.8","19.8000","19.3300","382.7340","元/吨","19.3300","19.3300","2014/3/31 14:58:14","7B5B9337B8054213AEA408CC568A0077","1","KH00004","成都宝钢西部贸易有限公司","KH00004","成都宝钢西部贸易有限公司","I4D0000138","06288516BB604D1ABD9845516FA5BFF0","","0","2014/3/31 14:58:22","100003","2014/3/31 14:58:37","100003","0","014002","现结","0","","","","","","","0","0.00","","","","19.8000","","","0","","0","0","","","","","","","","","","","",""
"85","d7a249e1212f41fd8b212b00ac042316","0101","ae4bba08b4af40e59cb6694f9ddfca24","1403310014","9C74086EA24941778154CD311936708A","D140314483D","2","出库","002","出库","CK1403310009","001002","出库吊装费","22.55*20","20.0000","22.5500","451.0000","元/吨","22.5500","22.5500","2014/3/31 15:05:00","54402E23DFE040A6AB062560F15FB44F","1","KH04647","山西焦煤集团国际贸易有限责任公司","KH04647","山西焦煤集团国际贸易有限责任公司","SXJM富翔1140331O","9C74086EA24941778154CD311936708A","","0","2014/3/31 15:05:04","100002","2014/3/31 15:05:25","100002","0","014002","现结","0","","","","","","","0","0.00","","","","20.0000","","","0","","0","0","","","","","","","","","","","",""
"86","b65c201cc8cd49e7bc29faf37da1c640","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","0116E56153674B25928EBB9749970224","R25887410-03","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.57*18","18.0000","9.5700","172.2600","元/吨","9.5700","9.5700","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","0116E56153674B25928EBB9749970224","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"87","1ae5544bbd9046c98e294b695cfef6f6","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","2EC3A8D5CB864A63AE0847A93E659413","R21886630-04","2","出库","002","出库","CK1403310010","001002","出库吊装费","0.3780*18","18.0000","0.3780","6.8040","元/吨","0.3780","0.3780","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","2EC3A8D5CB864A63AE0847A93E659413","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"88","5be8fb5b44124072aad8ae9f77b86ecc","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","972E206F0EBE4FCEB0FB7DF1102441C3","R25887410-01","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.57*18","18.0000","9.5700","172.2600","元/吨","9.5700","9.5700","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","972E206F0EBE4FCEB0FB7DF1102441C3","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"89","34ca100f478c47abb2033905cedc2a62","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","7C366B3E8C2E45749128DE8C72ACBFA0","R25887410-02","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.57*18","18.0000","9.5700","172.2600","元/吨","9.5700","9.5700","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","7C366B3E8C2E45749128DE8C72ACBFA0","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"90","637c33608d01498ea7a6dd767b8fd9ab","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","A37B4FED6DAA4E228FC878596085BD90","R21887510-01","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.5720*18","18.0000","9.5720","172.2960","元/吨","9.5720","9.5720","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","A37B4FED6DAA4E228FC878596085BD90","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"91","06e3e0d1cf0741b2befe67c47c1c614f","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","DC68D9F2D16F4F6BB5D1999D6A5EA2B4","R21886630-01","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.5590*18","18.0000","9.5590","172.0620","元/吨","9.5590","9.5590","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","DC68D9F2D16F4F6BB5D1999D6A5EA2B4","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"92","b79ca524ffe94afd9a6c97513fb20111","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","E8FF3A8E5B9546BAB6C9C4C8F56FB4E1","R21886630-03","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.5590*18","18.0000","9.5590","172.0620","元/吨","9.5590","9.5590","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","E8FF3A8E5B9546BAB6C9C4C8F56FB4E1","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"93","7bd8df2f7bb04de2ac67ef0efa57ea00","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","E839CC5797BA4202854C58D630303AF3","R21887510-04","2","出库","002","出库","CK1403310010","001002","出库吊装费","0.3190*18","18.0000","0.3190","5.7420","元/吨","0.3190","0.3190","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","E839CC5797BA4202854C58D630303AF3","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"94","151d56e8f94349b2a33b8c99168fadcb","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","D70FF308F28C4FCB9757766332CCE8FC","R21886630-02","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.5590*18","18.0000","9.5590","172.0620","元/吨","9.5590","9.5590","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","D70FF308F28C4FCB9757766332CCE8FC","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"95","66e6cf0d654a4977bf1571e2c90077f4","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","CFEA8D5626C34DB6B52E6B20AC1B3EF2","R21887510-03","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.5720*18","18.0000","9.5720","172.2960","元/吨","9.5720","9.5720","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","CFEA8D5626C34DB6B52E6B20AC1B3EF2","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"96","f11838bf6b4b400e916c45771a466b94","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","EECAF04D606F4079969BC846E7CCA16C","R25887410-04","2","出库","002","出库","CK1403310010","001002","出库吊装费","0.26*18","18.0000","0.2600","4.6800","元/吨","0.2600","0.2600","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","EECAF04D606F4079969BC846E7CCA16C","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"97","1a3fbd3587ff4ff6b2fe76c530d53fd8","0101","64d3fc438e3641bd97d630bcad58c5e4","1403310015","04F7D3E9BB0042548B7726FB56D52C0F","R21887510-02","2","出库","002","出库","CK1403310010","001002","出库吊装费","9.5720*18","18.0000","9.5720","172.2960","元/吨","9.5720","9.5720","2014/3/31 15:14:19","9FE4852AA8134225848265E2FA54F880","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","04F7D3E9BB0042548B7726FB56D52C0F","","0","2014/3/31 15:14:32","100002","2014/3/31 15:14:51","100002","0","014002","现结","0","","","","","","","0","0.00","","","","18.0000","","","0","","0","0","","","","","","","","","","","",""
"98","9b73ffab02004b1895de40a091e4a2fa","0101","1aba987e8292437caf10f66cc359dedb","1403310016","972E206F0EBE4FCEB0FB7DF1102441C3","R25887410-01","2","出库","002","出库","CK1403310010","001004","加工费","9.57*20","20.0000","9.5700","191.4000","元/吨","9.5700","9.5700","2014/3/31 15:15:08","c8e1ef560c4f42de86dd663719540724","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","972E206F0EBE4FCEB0FB7DF1102441C3","","0","2014/3/31 15:15:14","100002","2014/3/31 15:16:41","100002","0","014002","现结","0","","","","","","","0","0.00","","","","20.0000","","","0","","0","0","","","","","","","","","","","",""
"99","30f75e99d975494abea03866be9bf56c","0101","1aba987e8292437caf10f66cc359dedb","1403310016","7C366B3E8C2E45749128DE8C72ACBFA0","R25887410-02","2","出库","002","出库","CK1403310010","001004","加工费","9.57*20","20.0000","9.5700","191.4000","元/吨","9.5700","9.5700","2014/3/31 15:15:08","c8e1ef560c4f42de86dd663719540724","1","KH01666","上海张轩贸易有限公司","KH01666","上海张轩贸易有限公司","ZXJS盛亿140306D","7C366B3E8C2E45749128DE8C72ACBFA0","","0","2014/3/31 15:15:14","100002","2014/3/31 15:16:41","100002","0","014002","现结","0","","","","","","","0","0.00","","","","20.0000","","","0","","0","0","","","","","","","","","","","",""
