"   ","MANAGE_NO","HEADENTITY_MANAGE_NO","DEPTID","USE_STATE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG"
"1","ccbc4ee8c65e42d1b22900e46a05aaac","756bc1309500412e8c270f81a509526b","0101","00","2010/2/2 17:15:41","MG010001","2010/2/9 9:47:16","MG010001","0","15"
"2","3e1cf1d140c84e799106726b06b25860","a4c354d4f7f04b71850adea803190c97","0101","00","2010/2/3 10:15:21","MG010001","2010/2/3 10:15:53","MG010001","0","3"
