"   ","PROCARTICLEDTLID","DEPTID","PROCESSID","PACKNUM","BARCODE","GOODSLOCID","OWNERID","OWNERNAME","GOODSOWNERMANAGENO","GOODSOWNERPACKNO","MANAGENO","FEEBEGINDATE","CONTRACTID","GOODSSTATENO","GOODSSTATENAME","CHANGEOWNERTIMES","GOODSTYPE","GOODSTYPENAME","KINDNO","KINDNAME","SHOPSIGNID","SHOPSIGNNAME","PRODAREAID","PRODAREANAME","GOODSBATCHNO","PRODSTOVENO","GRADENUM","GRADENUMTHICK","GRADENUMWIDTH","GRADENUMLENGTH","GROSSWEIGHT","NETWEIGHT","POUNDWEIGHT","CHECKWEIGHT","SHEETNUM","PACKTYPE","PACKTYPENAME","UNIT","QUALITYMEMO","FIRSTINOWNERID","FIRSTINDATE","PRINTFLAG","QUALITY","QAMEMBER","QAFLAG","PROCESSQUALITYID","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","ORDERBY","R_RECORD_CHANGE_FLAG","INSTRUCTION_ID","SENDFLAG","ACCEPTANCE_TIMES","ACCEPTANCER","ACCEPTANCE_TIME","SKINWEIGHT","CYYWEIGHT","GOODSID","ARTICLEMEMO1","ARTICLEMEMO2","ARTICLEMEMO3","ARTICLEMEMO4","ARTICLEMEMO5","ARTICLEMEMO6","ARTICLEMEMO7","ARTICLEMEMO8","ARTICLEMEMO9","ARTICLEMEMO10","ARTICLEYS","CUSTOMERID","CBXJGTYPE","WALLWIDTH","WOODTYPE","WOODTYPENAME","CHANXIAN","DRAWNO","ZCFLAG","CLASSGROUP","LOCLV1","LOCLV2"
"11","aa221d341c944ef3ace2e266ba7c5eb1","0101","0114121274","A141014961S-08","1231208173410","KB1111","KH02350","上海儒易金属材料有限公司","","","SXJM永星21141027P","2014/10/27 7:12:33","","130","已验收","1","018004","加工成品","PZ001001030","带钢","GZ000005","SPHC","CD000057","本钢","","","3*300*0","3.000000","300.000000","0.000000","2.260000","2.260000","2.260000","2.260000","1.000000","007001                          ","","","","KH04647","2014/12/29 19:42:12","0","","潘华良","1","","2014/12/29 19:43:55","100060","","","0","2","0","","0","1","潘华良","2014/12/29 19:42:12","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"12","0b4b5f3308eb4fbca845528ff18abca0","0101","0114121274","A141014961S-09","1231208173507","KB1111","KH02350","上海儒易金属材料有限公司","","","SXJM永星21141027P","2014/10/27 7:12:33","","130","已验收","1","018004","加工成品","PZ001001030","带钢","GZ000005","SPHC","CD000057","本钢","","","3*BS*2+BT*1","3.000000","300.000000","0.000000","0.220000","0.220000","0.220000","0.220000","3.000000","007001                          ","","","","KH04647","2014/12/29 19:42:12","0","","潘华良","1","","2014/12/29 19:43:55","100060","","","0","2","0","","0","1","潘华良","2014/12/29 19:42:12","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"13","9332db13bb4046f78f96d7dc9192befb","0101","0114121257","D141127613D-02","1231208172574","KB1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:49","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.814000","3.814000","3.814000","3.814000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","0","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"14","83b608af27234a598b67937904f4cea0","0101","0114121257","D141127613D-03","1231208172563","KB1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:49","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.814000","3.814000","3.814000","3.814000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","0","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"15","6b451b0a9a9d41509d538a12044e6c2b","0101","0114121257","D141127613D-04","1231208172564","KB1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:49","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.814000","3.814000","3.814000","3.814000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","0","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"16","54d2567fb9d74203b67cd2ce086c356a","0101","0114121257","D141127613D-05","1231208172555","KB1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:49","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.814000","3.814000","3.814000","3.814000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","0","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"17","08a5e060e32c48dab82d811d4e1741e6","0101","0114121257","D141127613D-06","1231208172556","KB1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:49","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.120000","3.120000","3.120000","3.120000","18.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","0","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"18","16ebf1a98f744d71a46b119b840096ff","0101","0114121257","D141127613D-07","1231208173506","KB1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:49","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*350+650","4.750000","1250.000000","3700.000000","0.050000","0.050000","0.050000","0.050000","2.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","0","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"19","c69ddd1c911148ea89c2b1fa42d85be4","0101","0114121257","D141127611D-02","1231208173508","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:34","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.810000","3.810000","3.810000","3.810000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","1","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
"20","929633e2c2ad4065b5659192f44f0cf9","0101","0114121257","D141127611D-03","1231208173511","KN1111","KH02075","杭州萧山信谊物流有限公司","","","SXJM梅山岗17141218U","2014/12/19 7:20:34","","130","已验收","1","018004","加工成品","PZ006004","开平板","GZ000005","SPHC","CD000057","","","","4.75*1250*3700","4.750000","1250.000000","3700.000000","3.810000","3.810000","3.810000","3.810000","22.000000","007001                          ","裸包装","","","KH04647","2014/12/29 15:54:25","0","","肖燕","1","","2014/12/29 15:55:55","100006","","","0","1","0","","0","1","肖燕","2014/12/29 15:54:25","0.000000","","","","","","","","","","","","","","","               ","0.000000","","","","","0","","",""
