"   ","CHECKGOODSDTLID","DEPTID","CHECKNO","GOODSID","CHECKGOODSID","STOCKAREAID","BARCODE","OWNERNAME","OWNERID","PACKNUM","PACKFLAG","PREGOODSLOC","NEWGOODSLOC","MANAGENUM","COLLECTDATE","COLLECTEMPLOYNO","COLLECTEMPLOYNAME","GETNOFLAG","REMARK","DOFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","CURRENTLISTID","R_RECORD_CHANGE_FLAG","MOVEREMARK","BANKREMARK","GMPACKTYPE","SEG_NO","SHOPSIGNNAME","NETWEIGHT","GROSSWEIGHT","SHEETNUM","DATAFLAG","OFLAG","UFLAG"
"59","1292587A14C16C31E0503C0AA30D52CA","0101","","99bf50d52a2a46948604433727ef7f1e","PK2015038888","","R5028701401","沈阳宝钢东北贸易有限公司","KH05188","R5028701401","","CB1132","CB1132","I5K0000079","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","21.410000","21.410000","1.000000","","",""
"60","1292587A18176C31E0503C0AA30D52CA","0101","","c0845059194d49f3b2c2e7670be62e50","PK2015038888","","R5039101200","沈阳宝钢东北贸易有限公司","KH05188","R5039101200","","CA1131","CA1131","I5K0000101","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","27.100000","27.100000","1.000000","","",""
"61","1292587A181B6C31E0503C0AA30D52CA","0101","","c094b680d4884d4682854789c06782aa","PK2015038888","","R5017801902","沈阳宝钢东北贸易有限公司","KH05188","R5017801902","","CA1232","CA1232","I5K0000056","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","12Cr1MoV","24.280000","24.280000","1.000000","","",""
"62","1292587A18216C31E0503C0AA30D52CA","0101","","c1001540b1bf4a3298d8bf65928e8c1f","PK2015038888","","R5041803701","沈阳宝钢东北贸易有限公司","KH05188","R5041803701","","ID2123","ID2123","I5KC000019","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE380TM","13.100000","13.100000","1.000000","","",""
"63","1292587A107A6C31E0503C0AA30D52CA","0101","","6b3279553627457a861bc196c694594e","PK2015038888","","R5001102500","沈阳宝钢东北贸易有限公司","KH05188","R5001102500","","IA1161","","I4K0000317","","","","0","","0","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.040000","23.040000","1.000000","","",""
"64","1292587A108F6C31E0503C0AA30D52CA","0101","","6c3b93c58166427f9c454f453273e666","PK2015038888","","R5054002301","沈阳宝钢东北贸易有限公司","KH05188","R5054002301","","JB1831","JB1831","I5K0000107","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","28.020000","28.020000","1.000000","","",""
"65","1292587A16C46C31E0503C0AA30D52CA","0101","","b12ad28613db44eaaf04470000006853","PK2015038888","","115236207201","沈阳宝钢东北贸易有限公司","KH05188","1115005781","","JC1221","JC1221","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","20.270000","20.270000","1.000000","","",""
"66","1292587A16DE6C31E0503C0AA30D52CA","0101","","b276074bbb92481192237616be549a37","PK2015038888","","R5060203401","沈阳宝钢东北贸易有限公司","KH05188","R5060203401","","IA2622","IA2622","I5K0000078","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","27.760000","27.760000","1.000000","","",""
"67","1292587A19D16C31E0503C0AA30D52CA","0101","","d1e6ee4fd27b4607a433cc992e350ca1","PK2015038888","","R5060203800","沈阳宝钢东北贸易有限公司","KH05188","R5060203800","","CC2143","CC2143","I5K0000078","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","28.140000","28.140000","1.000000","","",""
"68","1292587A19E16C31E0503C0AA30D52CA","0101","","d29fd837938643aa9714e8c204b078cf","PK2015038888","","R5025601051","沈阳宝钢东北贸易有限公司","KH05188","R5025601051","","IB2542","IB2542","I5K0000076","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","25.160000","25.160000","1.000000","","",""
"69","1292587A1BCC6C31E0503C0AA30D52CA","0101","","e67016bb43a54d6a85a0bdd788f807ce","PK2015038888","","R5027302301","沈阳宝钢东北贸易有限公司","KH05188","R5027302301","","IB2542","IB2542","I5K0000075","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","21.110000","21.110000","1.000000","","",""
"70","1292587A1DA16C31E0503C0AA30D52CA","0101","","f93c7d3b4ede4b46ba1523407b98dfed","PK2015038888","","115236207601","沈阳宝钢东北贸易有限公司","KH05188","1115005785","","DF1312","DF1312","I5K0000086","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","QStE650TM","19.950000","19.950000","1.000000","","",""
"71","1292587A1DA36C31E0503C0AA30D52CA","0101","","f955d5e05c5642588e70e5347196fbc1","PK2015038888","","1232207117321","沈阳宝钢东北贸易有限公司","KH05188","R4270603300","","CD1411","CD1411","I4K0000317","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","Q235B","23.210000","23.210000","1.000000","","",""
"72","1292587A10C26C31E0503C0AA30D52CA","0101","","6e2fc7ac1d604f008bc6c5f450520aaa","PK2015038888","","R5025601901","沈阳宝钢东北贸易有限公司","KH05188","R5025601901","","CA2162","CA2162","I5K0000073","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SPHC","18.090000","18.090000","1.000000","","",""
"73","1292587A19FF6C31E0503C0AA30D52CA","0101","","d38c6b5c340440cf94560354960093a5","PK2015038888","","R5025003700","沈阳宝钢东北贸易有限公司","KH05188","R5025003700","","CB1612","CB1612","I5KC000020","","","","0","","1","2015/3/31 16:22:24","xzjExport","2015/4/1 13:14:07","MG020001","0","","0","","","","00146","SAPH400","19.360000","19.360000","1.000000","","",""
