"   ","SHOPSIGNID","SHOPSIGNNAME","SHORTCUT","REMARK","DEPTID","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","SHOPSIGNCD","ISCHECK"
"62","GZ002672","TH580","TH580","","0101","2009/8/11 9:27:00","100031","","","0","","",""
"63","GZ002678","TH550","","","0101","2009/8/15 22:42:00","100004","","","0","","",""
"64","GZ002708","JNS","","","0101","2009/9/7 13:06:00","100006","","","0","","",""
"65","GZ002711","SAE 8625","SAE 8625","","0101","2009/9/11 17:11:00","100031","","","0","","",""
"66","GZ002728","Q460E","Q460E","","0101","2009/10/2 18:46:00","100001","","","0","","",""
"67","GZ002749","Cr12","","","0101","2009/11/1 1:20:00","100004","","","0","","",""
"68","GZ002760","L DR-8MCA","L DR-8MCA","","0101","2009/11/17 9:24:00","100031","","","0","","",""
"69","GZ002769","SA105M","SA105M","","0101","2009/11/20 0:40:00","100005","","","0","","",""
"70","GZ002776","BGS600MC","BGS600MC","","0101","2009/11/25 15:09:00","100031","","","0","","",""
"71","GZ002802","CCSAH32","CCSAH32","","0101","2009/12/7 16:52:00","100003","","","0","","",""
"72","GZ002805","6CrW2Si","6CrW2Si","","0101","2009/12/8 14:04:00","100002","","","0","","",""
"73","GZ002813","EDDQ-1","EDDQ-1","","0101","2009/12/11 10:01:00","100001","","","0","","",""
"74","GZ002815","34CrMo4C","34CrMo4C","","0101","2009/12/12 10:01:00","100031","","","0","","",""
"75","GZ002818","CQ-3","","","0101","2009/12/15 6:47:00","100004","","","0","","",""
"76","GZ002820","CQ-2","CQ-2","","0101","2009/12/16 10:12:00","100031","","","0","","",""
"77","GZ002823","DDQ-AI","DDQ-AI","","0101","2009/12/18 11:04:00","100031","","","0","","",""
"78","GZ002824","CQ-1","CQ-1","","0101","2009/12/19 16:27:00","100031","","","0","","",""
"79","GZ002832","20CrMoA","20CrMoA","","0101","2009/12/28 23:43:00","100004","","","0","","",""
"80","GZ002835","GL4","GL4","","0101","2010/1/3 13:21:00","100031","","","0","","",""
"81","GZ002837","DDQ-A1","DDQ-A1","","0101","2010/1/5 0:05:00","100005","","","0","","",""
"82","GZ002838","ABA","ABA","","0101","2010/1/5 14:03:00","100002","","","0","","",""
"83","GZ002841","BM55SiCr","BM55SiCr","","0101","2010/1/18 8:44:00","100031","","","0","","",""
"84","GZ002859","SAE 8620H","SAE 8620H","","0101","2010/2/21 0:27:00","100004","","","0","","",""
"85","GZ002872","ÖÐÌú×°±¸","ZTZB","","0101","2010/3/1 15:41:00","100001","","","0","","",""
"86","GZ002880","Q235B-A","Q235B-A","","0101","2010/3/12 3:14:00","100004","","","0","","",""
"87","GZ002884","SS400-B","SS400-B","","0101","2010/3/17 0:05:00","100005","","","0","","",""
