"   ","WPROVIDER_ID","PROVIDER_NAME","VOUCHER_NUM","FACTORY_PRODUCT_ID","PUTOUT_WEIGHT","PUTOUT_PRICE","OTHER_PRICE","PUTOUT_AMOUNT","STORE_PRICE","PROD_TYPE_DESC","SHOPSIGN","SPEC","PUTOUT_DATE","CLIENT_FEE_FLAG","FEE_SETTLE_TYPE","CONTRACT_SUBID","INOUTDOOR_FLAG","DEPTID","OWNER_NUM","SEG_NO","REPORT_MONTH"
"42","P01087","上海宝钢运输有限公司（一号库）","DC090801017","A9H0001290","24.580000","15.000000","0.000000","368.700000","0.000000","模具用钢板坯","P20","95*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042001","","0101","SM","00101","200908"
"43","P01087","上海宝钢运输有限公司（一号库）","DC090801018","A9H0001291","24.520000","15.000000","0.000000","367.800000","0.000000","模具用钢板坯","P20","105*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042002","","0101","SM","00101","200908"
"44","P01087","上海宝钢运输有限公司（一号库）","DC090801019","A9H0001292","24.620000","15.000000","0.000000","369.300000","0.000000","模具用钢板坯","P20","115*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042003","","0101","SM","00101","200908"
"45","P01087","上海宝钢运输有限公司（一号库）","DC090801020","A9H0001293","23.620000","15.000000","0.000000","354.300000","0.000000","模具用钢板坯","P20","125*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042004","","0101","SM","00101","200908"
"46","P01087","上海宝钢运输有限公司（一号库）","DC090801021","A9H0001294","24.280000","15.000000","0.000000","364.200000","0.000000","模具用钢板坯","P20","135*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042005","","0101","SM","00101","200908"
"47","P01087","上海宝钢运输有限公司（一号库）","DC090801022","A9H0001295","24.480000","15.000000","0.000000","367.200000","0.000000","模具用钢板坯","P20","145*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042006","","0101","SM","00101","200908"
"48","P01087","上海宝钢运输有限公司（一号库）","DC090801023","A9H0001296","23.560000","15.000000","0.000000","353.400000","0.000000","模具用钢板坯","P20","155*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042007","","0101","SM","00101","200908"
"49","P01087","上海宝钢运输有限公司（一号库）","DC090801024","A9H0001297","24.160000","15.000000","0.000000","362.400000","0.000000","模具用钢板坯","P20","165*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042008","","0101","SM","00101","200908"
"50","P01087","上海宝钢运输有限公司（一号库）","DC090801025","A9H0001298","24.680000","15.000000","0.000000","370.200000","0.000000","模具用钢板坯","P20","175*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042009","","0101","SM","00101","200908"
"51","P01087","上海宝钢运输有限公司（一号库）","DC090801032","A9H0001334","23.700000","15.000000","0.000000","355.500000","0.000000","模具用钢板坯","BPD25","85*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700063001","","0101","SM","00101","200908"
