"   ","MANAGENO","DEPTID","BARCODE","PACKNUM","NEWGOODSLOCID","GOODSLOCID","COLLECTDATE","INDATE","OPERATETYPE","STATE","COLLECTIONMANNO","COLLECTIONMANNAME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","OPERATESTATE","R_RECORD_CHANGE_FLAG","BATCHNO","UPSTATE","PLY","PLYORDER","PPFLAG","GMPACKTYPE","GRADENUM","BUSINESSNO"
"19","e08b55aef73141b680d2fd135e0f5a91","0101","R4270700401","R4270700401","","IB2141","2015/1/2 5:37:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/3 11:08:57","100003","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"20","40e172d2d5e245ec8d0246cb231044c6","0101","R4266603501","R4266603501","","IB2121","2015/1/2 5:39:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:28:15","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"21","29432854c2654ef4a57265a3fc8c849e","0101","R4269704201","R4269704201","","IB2111","2015/1/2 5:41:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:25:49","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"22","7b468c50db64487b9d76f4b1ba9e2824","0101","R4270404201","R4270404201","","IB2151","2015/1/2 5:42:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:27:10","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"23","24a283709d944b9d8ae6537e3b9cd23f","0101","R4268704901","R4268704901","","IB2161","2015/1/2 5:44:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:26:31","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"24","8e615434cd234dd0812c255758efeaba","0101","R4268605201","R4268605201","","IB2112","2015/1/2 5:48:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/3 11:01:21","100003","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"25","3a2f85221eb14162a332a17e458f6608","0101","R4269703201","R4269703201","","IB2122","2015/1/2 5:49:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:24:43","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"26","19aaca1c7b7044b6bbbc353f7d8707ed","0101","R4269703001","R4269703001","","IB2132","2015/1/2 5:50:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:24:43","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"27","2c12a0bb8b024666b926b9ebc57dfb23","0101","R4265803001","R4265803001","","IB2142","2015/1/2 5:51:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:25:16","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"28","95aca772c184454c83fdc695a3b6b10a","0101","R4268705001","R4268705001","","IB1161","2015/1/2 5:53:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:13","100060","2015/1/2 8:23:30","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"29","51ec015b911a4aee86866f3c96d11cb1","0101","R4269704401","R4269704401","","IB1151","2015/1/2 5:54:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:22:55","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"30","8a7f120bbc854918a90385b582f13b99","0101","R4269704501","R4269704501","","IB1141","2015/1/2 5:55:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:22:55","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"31","b10e0e46479f45d09b9deb24e0b98cc7","0101","1232207117031","D141207954D","","IB2322","2014/12/31 19:36:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:45:21","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
