"   ","OWNER_NUM","CONTRACT_ITEM_NUM","INPUT_STACKING_NUM","PICK_NUM","RESOURCE_NUM","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","WEIGHT_THEO","STACKING_COUNT","DELIVERY_DATE_CHR","DEPT_ID","EXTSYSID","EXTSYSSTACKID","OPTFLAG","INSERT_TIME","TIME_RECEIVE","ZY_INSERT_TIME","DEPTID","DOWNLOADFLAG","VEHICLE_CODE","RED_STACKING_DATE","PRODUCT_ADRESS","TRANS_COMMISSION_SUBID","GETFLAG","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_FLAG"
"17","GM0","TI15130600746","F013031400","3F01307081401","I3E0012679","直发卷","SA414M GR.G","20.77","0","1","20130709","00","GM0","00100","0","2013/7/9 6:36:35","2013/7/9 6:36:35","2013/7/9 6:36:35","0101","0","30708008&@梅盛3769","0","梅钢公司热轧厂","TC13071200218005","","000425","上海宝钢钢材贸易有限公司",""
"18","GM0","TI15130600722","F013031232","3F01307070101","I3E0012673","直发卷","SA414M GR.G","47.81","0","2","20130707","00","GM0","00100","0","2013/7/7 14:36:55","2013/7/7 14:36:55","2013/7/7 14:36:55","0101","0","30706009&@梅盛2266","0","梅钢公司热轧厂","TC13071100095001","","000425","上海宝钢钢材贸易有限公司",""
"19","GM0","TI15130600745","F093009835","3F09307070101","I3E0012678","直发卷","SA414M GR.G","58.25","0","2","20130707","00","GM0","00100","0","2013/7/7 14:36:56","2013/7/7 14:36:56","2013/7/7 14:36:56","0101","0","30706009&@梅盛2266","0","梅钢公司热轧厂","TC13071100095004","","000425","上海宝钢钢材贸易有限公司",""
"20","GM0","TI15130700352","F013032301","3F01307151101","I3E0014286","直发卷","HP295","20.36","0","1","20130715","00","GM0","00100","0","2013/7/16 0:37:01","2013/7/16 0:37:01","2013/7/16 0:37:01","0101","0","30715009&@梅盛1918","0","梅钢公司热轧厂","TC13072200098004","","000425","上海宝钢钢材贸易有限公司",""
"21","GM0","TI15130700352","F013032302","3F01307151101","I3E0014286","直发卷","HP295","81.03","0","4","20130715","00","GM0","00100","0","2013/7/16 0:37:01","2013/7/16 0:37:01","2013/7/16 0:37:01","0101","0","30715009&@梅盛1918","0","梅钢公司热轧厂","TC13072200098004","","000425","上海宝钢钢材贸易有限公司",""
"22","GM0","TI15130700352","F013032306","3F01307151101","I3E0014286","直发卷","HP295","40.6","0","2","20130715","00","GM0","00100","0","2013/7/16 0:37:02","2013/7/16 0:37:02","2013/7/16 0:37:02","0101","0","30715009&@梅盛1918","0","梅钢公司热轧厂","TC13072200098004","","000425","上海宝钢钢材贸易有限公司",""
"23","GM0","TI15130700352","F013032307","3F01307151101","I3E0014286","直发卷","HP295","141.89","0","7","20130715","00","GM0","00100","0","2013/7/16 0:37:03","2013/7/16 0:37:03","2013/7/16 0:37:03","0101","0","30715009&@梅盛1918","0","梅钢公司热轧厂","TC13072200098004","","000425","上海宝钢钢材贸易有限公司",""
"24","GM0","TI15130700352","F013032589","3F01307170801","I3E0014286","直发卷","HP295","60.96","0","3","20130718","00","GM0","00100","0","2013/7/18 11:37:01","2013/7/18 11:37:01","2013/7/18 11:37:01","0101","0","30717009&@梅盛1288","0","梅钢公司热轧厂","TC13072200098007","","000425","上海宝钢钢材贸易有限公司",""
"25","GM0","TI15130700352","F013032603","3F01307170801","I3E0014286","直发卷","HP295","40.61","0","2","20130718","00","GM0","00100","0","2013/7/18 11:37:04","2013/7/18 11:37:04","2013/7/18 11:37:04","0101","0","30717009&@梅盛1288","0","梅钢公司热轧厂","TC13072200098007","","000425","上海宝钢钢材贸易有限公司",""
"26","GM0","TI15130700352","F013032602","3F01307170801","I3E0014286","直发卷","HP295","20.32","0","1","20130718","00","GM0","00100","0","2013/7/18 11:37:04","2013/7/18 11:37:04","2013/7/18 11:37:04","0101","0","30717009&@梅盛1288","0","梅钢公司热轧厂","TC13072200098007","","000425","上海宝钢钢材贸易有限公司",""
