"   ","MANAGEID","DEPTID","DEPTNAME","PARENTDEPTID","PARENTDEPTNAME","SYSVERSION","USERPCID","LOGINIP","USERID","USERNAME","LASTLOGINTIME","LASTLOGOUTTIME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","LOGINIPSERVICE","LOGINMAC"
"51","6b7e9fe87b4942c8b961f5c307534773","0101","宝钢运输公司一号库","","","1.1.0.0418","68674ca688fc455","192.168.16.138","01010001","管理员","2010/10/12 16:19:36","2010/10/12 16:20:36","","","","","","",""
"52","dca5c51fa24c46179145f04b462ae2b9","0101","宝钢运输公司一号库","","","1.1.0.0419","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/10/14 8:18:24","2010/10/14 16:19:50","","","","","","",""
"53","3757848a9fe44791b57be3f57c80fda3","0101","宝钢运输公司一号库","","","1.1.0.0416","mjordan-PC","fe80::b49f:59e3:8ad5:2eaa%11","01010001","管理员","2010/10/9 14:35:42","2010/10/9 14:52:31","","","","","","",""
"54","5be411f819b94ec6a37697cb1b8d7319","0101","宝钢运输公司一号库","","","1.1.0.0420","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/10/18 10:26:59","2010/10/18 12:05:53","","","","","","",""
"55","5d3d7aa289294a47b5966f5891e353a8","0101","宝钢运输公司一号库","","","1.1.0.0418","68674ca688fc455","192.168.16.138","01010001","管理员","2010/10/12 16:21:33","2010/10/12 16:22:54","","","","","","",""
"56","c96d04efbfdf456e94124da211225e54","0101","宝钢运输公司一号库","","","1.1.0.0422","68674ca688fc455","10.31.88.44","01010001","管理员","2010/10/26 9:19:31","2010/10/26 9:21:04","","","","","","",""
"57","bb5d4fef5ad547168e8f3cf1c6b623e0","0101","宝钢运输公司一号库","","","1.1.0.0422","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/10/27 12:32:16","2010/10/27 15:33:46","","","","","","",""
"58","ba6d83d23e2b4adc9883cc0106967779","0101","宝钢运输公司一号库","","","1.1.0.0422","68674ca688fc455","192.168.0.122","01010001","管理员","2010/10/25 20:38:42","2010/10/25 20:40:18","","","","","","",""
"59","3bb181b2596145f8ab6bcc892da83aee","0101","宝钢运输公司一号库","","","1.1.0.0420","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/10/19 9:01:59","2010/10/19 12:44:42","","","","","","",""
"60","e4e6b4dc19cd4189b545a637afbb017f","0101","宝钢运输公司一号库","","","1.1.0.0422","1847CBC19EB3450","192.168.6.100","01010001","管理员","2010/10/22 21:51:15","2010/10/22 21:52:10","","","","","","",""
