"   ","MANAGENO","SETTLECD","DEPTID","INVOICEKINDID","INVOICEKINDNAME","DEPTNO","DEPTNAME","SETTLEDATE","INVOICETYPEID","INVOICETYPENAME","INVOICENO","CHEQUENO","CHEQUESUM","CHEQUEUNIT","CREDITNO","CREDITAMOUNT","CASH","EARNEST","FACTSUM","BORROW","REMIT","EDITOR","EDITORNAME","CREATDATE","FLAG","MEMO","RESOURCENO","INVOICEFLAG","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","BIZ_ID","BIZ_TYPE_ID","BIZ_TYPE_NAME","CUSTOM_ID","CUSTOM_NAME","SETTLE_DATA","SETTLE_WEIGHT","SHOULD_SUM","SUB_BIZ_TYPE_ID","SUB_BIZ_TYPE_NAME","WEIGHTSUM","GROSSWEIGHTSUM","ISPAY","BILLEMPNAME","FOREIGNLISTNO","JGBUSINESSNO","SETTLEDEPTNO","SETTLEDEPTNAME","FEEKK","KPUSERNAME","KPAMOUNT","KPDATE","SETTLELOCK","JYZXFLAG","JYZXSENDFLAG","JYZXFPSENDFLAG","JYZXISPAYFEE","SENDMESSAGE","INVOICEBILLNO","DIRECTION","SETTLETAXSUM","SETTLENOTAXSUM"
"51","08c839ac238145d882ce99741f21f7a0","1403310050","0101","014002","现结","KH01528","上海闽兴大国际贸易有限公司","2014/3/31 20:59:14","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH01528","","0.000000","510.0000","0.0000","510.0000","0.0000","0.0000","100060","潘华良","2014/3/31 20:59:11","1","","","0","2014/3/31 20:59:08","100060","2014/4/1 14:31:49","100060","0","0","CK1403310036","002","出库","","","","28.12","506.1600","","","28.1200","28.1200","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"52","393be086dc094021b9bb77dc83891ddd","1403310051","0101","014002","现结","KH02655","浙江宏厚贸易有限公司","2014/3/31 21:37:16","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH02655","","0.000000","2225.0000","0.0000","2225.0000","0.0000","0.0000","100060","潘华良","2014/3/31 21:37:14","1","","","0","2014/3/31 21:37:11","100060","2014/4/1 14:31:49","100060","0","0","CK1403310037","002","出库","","","","111.1170","2222.3400","","","111.1170","111.1170","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"53","7210c3c906bf4cffbd20b03593d7d073","1403310052","0101","014002","现结","KH01528","上海闽兴大国际贸易有限公司","2014/3/31 21:44:43","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH01528","","0.000000","360.0000","0.0000","360.0000","0.0000","0.0000","100060","潘华良","2014/3/31 21:44:41","1","","","0","2014/3/31 21:44:37","100060","2014/4/1 14:31:49","100060","0","0","CK1403310038","002","出库","","","","19.92","358.5600","","","19.9200","19.9200","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"54","608c796469b24b9c9d978742ad5a57a8","1403310053","0101","014002","现结","KH04647","山西焦煤集团国际贸易有限责任公司","2014/3/31 21:46:15","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH04647","","0.000000","845.0000","0.0000","845.0000","0.0000","0.0000","100060","潘华良","2014/3/31 21:46:12","1","","","0","2014/3/31 21:46:09","100060","2014/4/1 14:31:49","100060","0","0","CK1403310039","002","出库","","","","42.11","842.2000","","","42.1100","42.1100","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"55","4826e1f21e5d4205973f5650da628897","1403310054","0101","014002","现结","KH00132","武汉宝钢华中贸易有限公司","2014/3/31 22:07:46","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH00132","","0.000000","230.0000","0.0000","230.0000","0.0000","0.0000","100060","潘华良","2014/3/31 22:07:43","1","","","0","2014/3/31 22:07:40","100060","2014/4/1 14:31:49","100060","0","0","CK1403310040","002","出库","","","","23.06","230.6000","","","23.0600","23.0600","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"56","4381b46ce9e94a83bd779bef0150ec5c","1403310055","0101","014002","现结","KH01528","上海闽兴大国际贸易有限公司","2014/3/31 23:41:44","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH01528","","0.000000","805.0000","0.0000","805.0000","0.0000","0.0000","100060","潘华良","2014/3/31 23:41:42","1","","","0","2014/3/31 23:41:37","100060","2014/4/1 14:31:49","100060","0","0","CK1403310041","002","出库","","","","44.68","804.2400","","","44.6800","44.6800","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"57","6bc80f85d32a4338b51d8a158cf71f03","1404010001","0101","014002","现结","KH01528","上海闽兴大国际贸易有限公司","2014/4/1 2:38:30","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH01528","","0.000000","2095.0000","0.0000","2095.0000","0.0000","0.0000","100060","潘华良","2014/4/1 2:38:27","1","","","0","2014/4/1 2:38:21","100060","2014/4/1 14:31:49","100060","0","0","CK1404010001","002","出库","","","","116.33","2093.9400","","","116.3300","116.3300","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"58","62935e7781d14603b3676f08939ffe31","1404010002","0101","014002","现结","KH04647","山西焦煤集团国际贸易有限责任公司","2014/4/1 6:52:09","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH04647","","0.000000","450.0000","0.0000","450.0000","0.0000","0.0000","100060","潘华良","2014/4/1 6:52:07","1","","","0","2014/4/1 6:51:57","100060","2014/4/1 14:31:49","100060","0","0","CK1404010002","002","出库","","","","22.51","450.2000","","","22.5100","22.5100","0","潘华良","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"59","5f41d34eeeb048a592cac792cb845829","1404010003","0101","014002","现结","KH04928","上海鸿厚贸易有限公司","2014/4/1 8:54:51","a011accffb1347088e4af4fb1c5d1237","增值税发票6%","","","0.0000","KH04928","","0.000000","435.0000","0.0000","435.0000","0.0000","0.0000","1818","肖萍","2014/4/1 8:54:47","1","","","0","2014/4/1 8:54:37","1818","2014/4/1 14:31:49","1818","0","0","CK1404010003","002","出库","","","","21.79","435.8000","","","21.7900","21.7900","0","肖萍","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
"60","17432d1269ab4c06bda567ec52dd194f","1404010005","0101","014002","现结","KH04928","上海鸿厚贸易有限公司","2014/4/1 10:41:54","a011accffb1347088e4af4fb1c5d9237","增值税发票17%","","","0.0000","KH04928","","0.000000","0.0000","0.0000","562.5000","562.5000","0.0000","100003","钱晓平","2014/4/1 10:07:31","1","","","0","2014/4/1 10:07:32","100003","2014/4/1 14:31:57","100003","0","0","CK1404010004","002","出库","","","","22.50","562.5000","","","22.5000","22.5000","0","钱晓平","","","","","0.0000","","0.0000","","","0","0","0","0","","","","",""
