"   ","SEG_NO","PACK_NUM","WEIGHT_ACTIVE","WEIGHT_THEO","LENGTH_PRODUCT","LENGTH_PRODUCT_MAX","WIDTH_PRODUCT","THICK_PRODUCT","TYPE_PRODUCT","N_PACK","READY_NUM","ORDER_NUM","HEAT_NUM","SHOPSIGN","PROC_MARK","TIME_RECEIVE","AAA","PROVIDER_ID","PROVIDER_NAME"
"1","00103","5CJ000580102","400.000","400.000","207448","0","118","2"," ","1","1D1W500244","L5QT000026","462D0867","Ni36","1","2015/2/2 14:08:54","2015/2/3 19:21:41","","aaa"
"2","00103","5CJ000580103","399.000","399.000","207448","0","118","2"," ","1","1D1W500246","L5QT000026","462D0867","Ni36","1","2015/2/2 14:08:54","2015/2/3 19:21:41","","aaa"
"3","00103","5CJ000580107","401.000","401.000","207448","0","118","2"," ","1","1C17500022","L5QT000026","462D0867","Ni36","1","2015/2/2 14:08:54","2015/2/3 19:21:41","","aaa"
