"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE","GETFLAG","SETTLE_FLAG","SOURCE_SEG_NO","OPERATION_TYPE","R_JK_UPDATE_DATE"
"1","BGNA","F013029997","3F01306280101","I3E0011898","MN","H123008618","23","","","1","17890","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30627007&@梅盛2188","1","20130628","0924","01","","607496","","","","","0","0","","BGTM0I3062800","","2015/8/26 10:36:30","2013/6/28 10:17:47","0","2.75*1130*C","C","","0","","00103","","TI15130503005","","2013/6/28 10:36:30","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100280004","20","","","","",""
"2","BGNA","F013030002","3F01306280101","I3E0011987","MN","H123008646","23","","","1","17840","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30627007&@梅盛2188","1","20130628","0924","01","","607496","","","","","0","0","","BGTM0I3062800","","2015/8/26 10:36:31","2013/6/28 10:17:47","0","3*1100*C","C","","0","","00103","","TI15130503049","","2013/6/28 10:36:31","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100256003","20","","","","",""
"3","BGNA","F013029644","3F01306260401","I3E0011898","MN","H113006525","23","","","1","17710","直发卷","SA414M GR.G","","F01","","20191022","","上海宝铁６号库码头","000425","上海宝钢钢材贸易有限公司","009406","上海梅山钢铁股份有限公司南京销售分公司","","30626002&@梅盛1588","1","20130627","0603","01","","607014","","","","","0","0","","","","2015/8/26 6:36:25","2013/6/27 6:16:35","0","2.75*1130*C","C","","0","","00100","","TI15130503005","","2013/6/27 6:36:25","0","0","梅钢公司热轧厂","","GM0","0101","TC13070100280003","20","","","","",""
